,date,stock_code,prev,open,high,low,close,change
58,28 Feb 2023,ASII,5800,6200,6275,6100,6100,300
341,28 Feb 2023,HRUM,1590,1600,1635,1595,1630,40
371,28 Feb 2023,INKP,8025,8000,8000,7900,7925,-100
379,28 Feb 2023,INTP,11025,11075,11175,10875,11125,100
482,28 Feb 2023,MAPI,1590,0,1590,1510,1510,-80
694,28 Feb 2023,SIDO,855,855,880,850,880,25
808,28 Feb 2023,UNTR,25175,29200,30150,27750,27900,2725
809,28 Feb 2023,UNVR,4300,4300,4320,4180,4180,-120
4,01 Mar 2023,ACES,505,505,515,505,505,0
35,01 Mar 2023,AMRT,2900,2900,2930,2860,2890,-10
58,01 Mar 2023,ASII,6100,6100,6175,6050,6150,50
342,01 Mar 2023,HRUM,1630,1630,1660,1615,1655,25
372,01 Mar 2023,INKP,7925,7925,8000,7925,8000,75
380,01 Mar 2023,INTP,11125,11125,11275,11025,11275,150
483,01 Mar 2023,MAPI,1510,0,1610,1515,1550,40
695,01 Mar 2023,SIDO,880,875,890,860,885,5
809,01 Mar 2023,UNTR,27900,28050,28350,27550,27575,-325
810,01 Mar 2023,UNVR,4180,4170,4200,4110,4150,-30
4,02 Mar 2023,ACES,505,505,510,492,494,-11
35,02 Mar 2023,AMRT,2890,2900,2970,2900,2960,70
58,02 Mar 2023,ASII,6150,6150,6175,6075,6150,0
342,02 Mar 2023,HRUM,1655,1665,1690,1650,1670,15
372,02 Mar 2023,INKP,8000,8025,8050,7925,7925,-75
380,02 Mar 2023,INTP,11275,11250,11300,11125,11125,-150
483,02 Mar 2023,MAPI,1550,0,1645,1550,1620,70
695,02 Mar 2023,SIDO,885,880,915,870,910,25
809,02 Mar 2023,UNTR,27575,27700,28450,27650,28325,750
810,02 Mar 2023,UNVR,4150,4160,4220,4150,4150,0
4,03 Mar 2023,ACES,494,494,510,486,496,2
35,03 Mar 2023,AMRT,2960,2960,2980,2770,2770,-190
58,03 Mar 2023,ASII,6150,6150,6150,6025,6050,-100
343,03 Mar 2023,HRUM,1670,1675,1695,1675,1690,20
373,03 Mar 2023,INKP,7925,7950,8000,7850,7850,-75
381,03 Mar 2023,INTP,11125,11275,11600,11175,11425,300
484,03 Mar 2023,MAPI,1620,0,1635,1555,1560,-60
696,03 Mar 2023,SIDO,910,910,915,890,895,-15
810,03 Mar 2023,UNTR,28325,28375,28475,28000,28125,-200
811,03 Mar 2023,UNVR,4150,4150,4170,4050,4060,-90
4,06 Mar 2023,ACES,496,505,510,498,498,2
35,06 Mar 2023,AMRT,2770,2800,2860,2790,2820,50
58,06 Mar 2023,ASII,6050,6100,6125,6050,6075,25
343,06 Mar 2023,HRUM,1690,1690,1695,1650,1660,-30
373,06 Mar 2023,INKP,7850,7875,7925,7800,7825,-25
381,06 Mar 2023,INTP,11425,11475,11600,11275,11300,-125
484,06 Mar 2023,MAPI,1560,0,1595,1555,1570,10
697,06 Mar 2023,SIDO,895,895,900,885,900,5
811,06 Mar 2023,UNTR,28125,28175,28275,27650,27650,-475
812,06 Mar 2023,UNVR,4060,4080,4190,4070,4170,110
4,07 Mar 2023,ACES,498,500,505,494,496,-2
35,07 Mar 2023,AMRT,2820,2820,2840,2810,2810,-10
58,07 Mar 2023,ASII,6075,6050,6075,5900,5950,-125
343,07 Mar 2023,HRUM,1660,1660,1665,1625,1665,5
373,07 Mar 2023,INKP,7825,7825,7850,7650,7725,-100
381,07 Mar 2023,INTP,11300,11250,11400,11125,11250,-50
484,07 Mar 2023,MAPI,1570,0,1610,1555,1600,30
697,07 Mar 2023,SIDO,900,900,910,895,900,0
811,07 Mar 2023,UNTR,27650,27650,27675,26800,26825,-825
812,07 Mar 2023,UNVR,4170,4160,4160,4080,4080,-90
4,08 Mar 2023,ACES,496,494,496,480,486,-10
35,08 Mar 2023,AMRT,2810,2810,2870,2790,2870,60
58,08 Mar 2023,ASII,5950,5900,5975,5875,5925,-25
344,08 Mar 2023,HRUM,1665,1665,1665,1590,1630,-35
374,08 Mar 2023,INKP,7725,7700,7700,7550,7600,-125
382,08 Mar 2023,INTP,11250,11250,11475,11200,11475,225
485,08 Mar 2023,MAPI,1600,0,1615,1565,1570,-30
699,08 Mar 2023,SIDO,900,895,895,880,885,-15
814,08 Mar 2023,UNTR,26825,26725,26875,26200,26400,-425
815,08 Mar 2023,UNVR,4080,4080,4120,4060,4100,20
4,09 Mar 2023,ACES,486,488,505,486,500,14
35,09 Mar 2023,AMRT,2870,2880,2890,2830,2830,-40
58,09 Mar 2023,ASII,5925,5975,6050,5950,6025,100
344,09 Mar 2023,HRUM,1630,1620,1630,1605,1610,-20
374,09 Mar 2023,INKP,7600,7600,7775,7575,7575,-25
382,09 Mar 2023,INTP,11475,11450,11475,11300,11475,0
485,09 Mar 2023,MAPI,1570,0,1575,1495,1520,-50
699,09 Mar 2023,SIDO,885,890,900,880,885,0
814,09 Mar 2023,UNTR,26400,26825,27425,26600,27025,625
815,09 Mar 2023,UNVR,4100,4100,4140,4080,4100,0
4,10 Mar 2023,ACES,500,500,505,492,500,0
35,10 Mar 2023,AMRT,2830,2840,2880,2790,2810,-20
58,10 Mar 2023,ASII,6025,5975,6000,5900,5975,-50
344,10 Mar 2023,HRUM,1610,1615,1645,1605,1635,25
374,10 Mar 2023,INKP,7575,7575,7600,7375,7400,-175
382,10 Mar 2023,INTP,11475,11400,11475,11325,11475,0
485,10 Mar 2023,MAPI,1520,0,1525,1445,1465,-55
700,10 Mar 2023,SIDO,885,885,900,855,900,15
815,10 Mar 2023,UNTR,27025,27000,27150,26600,26825,-200
816,10 Mar 2023,UNVR,4100,4100,4140,4080,4110,10
4,13 Mar 2023,ACES,500,496,505,494,500,0
35,13 Mar 2023,AMRT,2810,2820,2870,2800,2870,60
58,13 Mar 2023,ASII,5975,5900,5975,5850,5925,-50
344,13 Mar 2023,HRUM,1635,1635,1655,1620,1625,-10
374,13 Mar 2023,INKP,7400,7450,7775,7400,7425,25
382,13 Mar 2023,INTP,11475,11475,11475,10900,11025,-450
485,13 Mar 2023,MAPI,1465,0,1540,1425,1540,75
700,13 Mar 2023,SIDO,900,890,890,845,845,-55
815,13 Mar 2023,UNTR,26825,27300,28175,27125,28075,1250
816,13 Mar 2023,UNVR,4110,4090,4180,4080,4160,50
4,14 Mar 2023,ACES,500,498,500,466,468,-32
35,14 Mar 2023,AMRT,2870,2870,2890,2840,2840,-30
58,14 Mar 2023,ASII,5925,5900,5925,5750,5775,-150
344,14 Mar 2023,HRUM,1625,1625,1630,1550,1555,-70
374,14 Mar 2023,INKP,7425,7475,7525,7325,7350,-75
382,14 Mar 2023,INTP,11025,11000,11150,10800,11000,-25
485,14 Mar 2023,MAPI,1540,0,1580,1450,1465,-75
700,14 Mar 2023,SIDO,845,855,875,830,835,-10
815,14 Mar 2023,UNTR,28075,28025,28025,27100,27100,-975
816,14 Mar 2023,UNVR,4160,4140,4240,4130,4210,50
4,15 Mar 2023,ACES,468,472,482,436,456,-12
35,15 Mar 2023,AMRT,2840,2870,2900,2840,2850,10
58,15 Mar 2023,ASII,5775,5850,5875,5775,5775,0
344,15 Mar 2023,HRUM,1555,1560,1580,1500,1530,-25
374,15 Mar 2023,INKP,7350,7400,7500,7175,7175,-175
382,15 Mar 2023,INTP,11000,10900,11000,10250,10250,-750
485,15 Mar 2023,MAPI,1465,0,1570,1470,1545,80
700,15 Mar 2023,SIDO,835,840,855,840,850,15
815,15 Mar 2023,UNTR,27100,27700,27700,27225,27250,150
816,15 Mar 2023,UNVR,4210,4210,4230,4100,4100,-110
4,16 Mar 2023,ACES,456,452,458,436,440,-16
35,16 Mar 2023,AMRT,2850,2870,2900,2790,2800,-50
58,16 Mar 2023,ASII,5775,5775,5875,5675,5850,75
344,16 Mar 2023,HRUM,1530,1525,1565,1425,1425,-105
374,16 Mar 2023,INKP,7175,7150,7150,6775,6825,-350
382,16 Mar 2023,INTP,10250,9900,9975,9550,9750,-500
485,16 Mar 2023,MAPI,1545,0,1600,1495,1600,55
700,16 Mar 2023,SIDO,850,850,850,815,835,-15
815,16 Mar 2023,UNTR,27250,26900,27300,26475,26925,-325
816,16 Mar 2023,UNVR,4100,4100,4120,4040,4070,-30
4,17 Mar 2023,ACES,440,442,454,442,442,2
35,17 Mar 2023,AMRT,2800,2810,2920,2810,2860,60
58,17 Mar 2023,ASII,5850,5875,5925,5850,5850,0
344,17 Mar 2023,HRUM,1425,1430,1465,1430,1465,40
374,17 Mar 2023,INKP,6825,6875,7025,6875,6875,50
382,17 Mar 2023,INTP,9750,9750,10200,9725,10000,250
485,17 Mar 2023,MAPI,1600,0,1635,1565,1600,0
700,17 Mar 2023,SIDO,835,835,845,825,825,-10
815,17 Mar 2023,UNTR,26925,27000,28450,27000,28450,1525
816,17 Mar 2023,UNVR,4070,4070,4170,4070,4160,90
4,20 Mar 2023,ACES,442,442,458,438,450,8
35,20 Mar 2023,AMRT,2860,2870,2900,2810,2850,-10
58,20 Mar 2023,ASII,5850,5850,5900,5800,5875,25
344,20 Mar 2023,HRUM,1465,1465,1470,1430,1440,-25
374,20 Mar 2023,INKP,6875,6925,7125,6925,7125,250
382,20 Mar 2023,INTP,10000,10000,10200,9925,10125,125
485,20 Mar 2023,MAPI,1600,0,1600,1515,1525,-75
700,20 Mar 2023,SIDO,825,825,830,820,820,-5
815,20 Mar 2023,UNTR,28450,28250,28275,27425,27700,-750
816,20 Mar 2023,UNVR,4160,4160,4170,4100,4160,0
4,21 Mar 2023,ACES,450,452,458,444,450,0
35,21 Mar 2023,AMRT,2850,2850,2900,2810,2900,50
58,21 Mar 2023,ASII,5875,5850,5975,5850,5875,0
344,21 Mar 2023,HRUM,1440,1440,1465,1390,1390,-50
374,21 Mar 2023,INKP,7125,7150,7400,7150,7400,275
382,21 Mar 2023,INTP,10125,10150,10275,10025,10075,-50
485,21 Mar 2023,MAPI,1525,0,1545,1480,1495,-30
700,21 Mar 2023,SIDO,820,825,835,820,825,5
815,21 Mar 2023,UNTR,27700,27725,27775,27450,27475,-225
816,21 Mar 2023,UNVR,4160,4160,4200,4150,4200,40
4,24 Mar 2023,ACES,450,454,470,450,468,18
35,24 Mar 2023,AMRT,2900,2920,2990,2860,2930,30
58,24 Mar 2023,ASII,5875,5925,6000,5900,5950,75
344,24 Mar 2023,HRUM,1390,1400,1410,1390,1390,0
374,24 Mar 2023,INKP,7400,7400,7500,7325,7350,-50
382,24 Mar 2023,INTP,10075,10100,10150,9900,10075,0
485,24 Mar 2023,MAPI,1495,0,1560,1495,1515,20
700,24 Mar 2023,SIDO,825,825,865,825,845,20
815,24 Mar 2023,UNTR,27475,27875,28225,27525,27675,200
816,24 Mar 2023,UNVR,4200,4370,4370,4240,4270,70
4,27 Mar 2023,ACES,468,470,478,460,468,0
35,27 Mar 2023,AMRT,2930,2910,2930,2850,2900,-30
58,27 Mar 2023,ASII,5950,5950,5975,5875,5875,-75
344,27 Mar 2023,HRUM,1390,1415,1440,1400,1405,15
374,27 Mar 2023,INKP,7350,7375,7500,7350,7400,50
382,27 Mar 2023,INTP,10075,10075,10075,9800,9950,-125
485,27 Mar 2023,MAPI,1515,0,1530,1495,1500,-15
700,27 Mar 2023,SIDO,845,845,865,845,855,10
815,27 Mar 2023,UNTR,27675,27825,28200,27675,27800,125
816,27 Mar 2023,UNVR,4270,4270,4290,4230,4290,20
4,28 Mar 2023,ACES,468,472,474,462,466,-2
35,28 Mar 2023,AMRT,2900,2920,2990,2900,2980,80
58,28 Mar 2023,ASII,5875,5900,5925,5850,5850,-25
344,28 Mar 2023,HRUM,1405,1410,1470,1410,1460,55
374,28 Mar 2023,INKP,7400,7400,7625,7400,7600,200
382,28 Mar 2023,INTP,9950,10125,10750,10100,10725,775
485,28 Mar 2023,MAPI,1500,0,1620,1500,1600,100
700,28 Mar 2023,SIDO,855,860,875,855,865,10
815,28 Mar 2023,UNTR,27800,27825,28650,27700,28575,775
816,28 Mar 2023,UNVR,4290,4290,4320,4280,4300,10
4,29 Mar 2023,ACES,466,466,472,464,468,2
35,29 Mar 2023,AMRT,2980,2970,2980,2910,2950,-30
58,29 Mar 2023,ASII,5850,5850,6050,5850,5950,100
344,29 Mar 2023,HRUM,1460,1485,1535,1485,1500,40
374,29 Mar 2023,INKP,7600,7600,7675,7475,7625,25
382,29 Mar 2023,INTP,10725,10750,10850,10575,10625,-100
485,29 Mar 2023,MAPI,1600,0,1680,1585,1625,25
700,29 Mar 2023,SIDO,865,865,875,860,860,-5
815,29 Mar 2023,UNTR,28575,28750,29450,28700,29125,550
816,29 Mar 2023,UNVR,4300,4300,4370,4300,4360,60
4,30 Mar 2023,ACES,468,470,486,470,482,14
35,30 Mar 2023,AMRT,2950,2950,2960,2820,2870,-80
58,30 Mar 2023,ASII,5950,5975,5975,5900,5900,-50
345,30 Mar 2023,HRUM,1500,1510,1515,1475,1475,-25
375,30 Mar 2023,INKP,7625,7650,7750,7550,7650,25
383,30 Mar 2023,INTP,10625,10650,10900,10575,10725,100
486,30 Mar 2023,MAPI,1625,0,1650,1515,1540,-85
701,30 Mar 2023,SIDO,860,860,865,840,840,-20
816,30 Mar 2023,UNTR,29125,29000,29425,28975,28975,-150
817,30 Mar 2023,UNVR,4360,4360,4370,4260,4260,-100
4,31 Mar 2023,ACES,482,484,490,474,478,-4
35,31 Mar 2023,AMRT,2870,2880,2960,2870,2880,10
58,31 Mar 2023,ASII,5900,5950,6025,5925,6000,100
345,31 Mar 2023,HRUM,1475,1475,1495,1460,1460,-15
375,31 Mar 2023,INKP,7650,7650,7675,7500,7500,-150
383,31 Mar 2023,INTP,10725,10675,10675,10400,10525,-200
486,31 Mar 2023,MAPI,1540,0,1560,1510,1510,-30
701,31 Mar 2023,SIDO,840,845,870,845,870,30
816,31 Mar 2023,UNTR,28975,29000,29100,28700,29100,125
817,31 Mar 2023,UNVR,4260,4270,4360,4260,4350,90
4,03 Apr 2023,ACES,478,480,490,480,480,2
35,03 Apr 2023,AMRT,2880,2920,2940,2890,2920,40
58,03 Apr 2023,ASII,6000,6050,6100,5975,6000,0
345,03 Apr 2023,HRUM,1460,1485,1520,1475,1485,25
375,03 Apr 2023,INKP,7500,7500,7575,7450,7475,-25
383,03 Apr 2023,INTP,10525,10575,10675,10200,10500,-25
486,03 Apr 2023,MAPI,1510,0,1540,1450,1450,-60
701,03 Apr 2023,SIDO,870,870,875,855,860,-10
816,03 Apr 2023,UNTR,29100,29150,29350,28800,28850,-250
817,03 Apr 2023,UNVR,4350,4350,4350,4250,4290,-60
4,04 Apr 2023,ACES,480,480,486,472,474,-6
35,04 Apr 2023,AMRT,2920,2920,2940,2840,2870,-50
58,04 Apr 2023,ASII,6000,6025,6050,5950,6025,25
345,04 Apr 2023,HRUM,1485,1510,1580,1510,1570,85
375,04 Apr 2023,INKP,7475,7500,7525,7350,7450,-25
383,04 Apr 2023,INTP,10500,10500,10600,10300,10450,-50
486,04 Apr 2023,MAPI,1450,0,1475,1400,1400,-50
701,04 Apr 2023,SIDO,860,860,865,840,845,-15
816,04 Apr 2023,UNTR,28850,29100,29700,29025,29625,775
817,04 Apr 2023,UNVR,4290,4280,4290,4220,4290,0
4,05 Apr 2023,ACES,474,474,480,464,464,-10
35,05 Apr 2023,AMRT,2870,2880,2890,2770,2800,-70
58,05 Apr 2023,ASII,6025,6025,6050,5975,6000,-25
346,05 Apr 2023,HRUM,1570,1565,1570,1540,1550,-20
376,05 Apr 2023,INKP,7450,7425,7425,7225,7275,-175
384,05 Apr 2023,INTP,10450,10500,10525,9725,9725,-725
487,05 Apr 2023,MAPI,1400,0,1450,1385,1385,-15
702,05 Apr 2023,SIDO,845,845,855,835,835,-10
817,05 Apr 2023,UNTR,29625,29475,30125,29325,29800,175
818,05 Apr 2023,UNVR,4290,4290,4320,4250,4250,-40
4,06 Apr 2023,ACES,464,468,470,450,452,-12
35,06 Apr 2023,AMRT,2800,2800,2820,2650,2700,-100
58,06 Apr 2023,ASII,6000,6000,6000,5925,5925,-75
346,06 Apr 2023,HRUM,1550,1555,1595,1540,1585,35
376,06 Apr 2023,INKP,7275,7250,7625,7250,7275,0
384,06 Apr 2023,INTP,9725,9825,9975,9750,9900,175
487,06 Apr 2023,MAPI,1385,0,1430,1340,1415,30
702,06 Apr 2023,SIDO,835,835,845,820,830,-5
816,06 Apr 2023,UNTR,29800,30000,30075,29725,29800,0
817,06 Apr 2023,UNVR,4250,4250,4290,4230,4250,0
4,10 Apr 2023,ACES,452,454,456,440,444,-8
35,10 Apr 2023,AMRT,2700,2700,2830,2700,2810,110
58,10 Apr 2023,ASII,5925,5950,5975,5875,5975,50
346,10 Apr 2023,HRUM,1585,1585,1585,1520,1550,-35
376,10 Apr 2023,INKP,7275,7300,7450,7250,7425,150
384,10 Apr 2023,INTP,9900,9900,9950,9800,9900,0
487,10 Apr 2023,MAPI,1415,0,1440,1360,1365,-50
703,10 Apr 2023,SIDO,830,825,825,800,805,-25
817,10 Apr 2023,UNTR,29800,30000,30200,29800,30200,400
818,10 Apr 2023,UNVR,4250,4250,4290,4230,4290,40
4,11 Apr 2023,ACES,444,444,452,442,444,0
35,11 Apr 2023,AMRT,2810,2820,2830,2760,2810,0
58,11 Apr 2023,ASII,5975,5950,6100,5925,6075,100
346,11 Apr 2023,HRUM,1550,1555,1590,1545,1550,0
376,11 Apr 2023,INKP,7425,7425,7500,7400,7475,50
384,11 Apr 2023,INTP,9900,9900,10325,9825,10325,425
487,11 Apr 2023,MAPI,1365,0,1385,1325,1330,-35
703,11 Apr 2023,SIDO,805,810,840,810,825,20
817,11 Apr 2023,UNTR,30200,30250,30800,30025,30400,200
818,11 Apr 2023,UNVR,4290,4290,4290,4200,4200,-90
4,12 Apr 2023,ACES,444,448,454,446,452,8
35,12 Apr 2023,AMRT,2810,2790,2810,2690,2800,-10
58,12 Apr 2023,ASII,6075,6150,6300,6125,6250,175
346,12 Apr 2023,HRUM,1550,1555,1575,1555,1565,15
376,12 Apr 2023,INKP,7475,7475,7650,7425,7625,150
384,12 Apr 2023,INTP,10325,10325,10600,10200,10400,75
487,12 Apr 2023,MAPI,1330,0,1405,1330,1370,40
704,12 Apr 2023,SIDO,825,830,835,815,815,-10
818,12 Apr 2023,UNTR,30400,30600,31700,30200,31250,850
819,12 Apr 2023,UNVR,4200,4210,4220,4180,4190,-10
4,13 Apr 2023,ACES,452,452,454,444,446,-6
35,13 Apr 2023,AMRT,2800,2770,2770,2710,2740,-60
58,13 Apr 2023,ASII,6250,6225,6275,6175,6250,0
346,13 Apr 2023,HRUM,1565,1585,1585,1535,1575,10
376,13 Apr 2023,INKP,7625,7650,7700,7500,7500,-125
384,13 Apr 2023,INTP,10400,10400,10425,10200,10200,-200
487,13 Apr 2023,MAPI,1370,0,1390,1305,1390,20
704,13 Apr 2023,SIDO,815,815,830,810,815,0
818,13 Apr 2023,UNTR,31250,31400,31500,31050,31050,-200
819,13 Apr 2023,UNVR,4190,4160,4180,4100,4100,-90
4,14 Apr 2023,ACES,446,446,450,444,446,0
35,14 Apr 2023,AMRT,2740,2740,2760,2730,2750,10
58,14 Apr 2023,ASII,6250,6275,6300,6200,6200,-50
346,14 Apr 2023,HRUM,1575,1570,1570,1545,1545,-30
376,14 Apr 2023,INKP,7500,7525,7575,7450,7475,-25
384,14 Apr 2023,INTP,10200,10250,10400,10225,10275,75
487,14 Apr 2023,MAPI,1390,0,1455,1390,1430,40
704,14 Apr 2023,SIDO,815,815,825,810,810,-5
818,14 Apr 2023,UNTR,31050,31000,31150,30225,30225,-825
819,14 Apr 2023,UNVR,4100,4120,4220,4120,4150,50
4,17 Apr 2023,ACES,446,446,452,432,440,-6
35,17 Apr 2023,AMRT,2750,2750,2760,2700,2720,-30
58,17 Apr 2023,ASII,6200,6200,6275,6200,6225,25
346,17 Apr 2023,HRUM,1545,1545,1550,1500,1500,-45
376,17 Apr 2023,INKP,7475,7525,7625,7450,7525,50
384,17 Apr 2023,INTP,10275,10225,10375,10150,10325,50
487,17 Apr 2023,MAPI,1430,0,1475,1420,1465,35
704,17 Apr 2023,SIDO,810,810,820,805,820,10
818,17 Apr 2023,UNTR,30225,30300,31125,30300,30500,275
819,17 Apr 2023,UNVR,4150,4160,4180,4090,4130,-20
4,18 Apr 2023,ACES,440,442,444,438,440,0
35,18 Apr 2023,AMRT,2720,2710,2740,2700,2720,0
58,18 Apr 2023,ASII,6225,6275,6475,6275,6425,200
347,18 Apr 2023,HRUM,1500,1500,1530,1500,1510,10
377,18 Apr 2023,INKP,7525,7525,7550,7450,7500,-25
385,18 Apr 2023,INTP,10325,10325,10450,10325,10350,25
488,18 Apr 2023,MAPI,1465,0,1475,1430,1430,-35
707,18 Apr 2023,SIDO,820,815,815,800,800,-20
821,18 Apr 2023,UNTR,30500,30650,31250,30650,31075,575
822,18 Apr 2023,UNVR,4130,4130,4150,4090,4090,-40
4,26 Apr 2023,ACES,440,440,444,438,442,2
35,26 Apr 2023,AMRT,2720,2790,2910,2740,2910,190
58,26 Apr 2023,ASII,6425,6625,6700,6500,6700,275
347,26 Apr 2023,HRUM,1510,1510,1540,1510,1540,30
377,26 Apr 2023,INKP,7500,7600,7925,7525,7925,425
385,26 Apr 2023,INTP,10350,10250,10450,10000,10450,100
488,26 Apr 2023,MAPI,1430,0,1495,1400,1410,-20
707,26 Apr 2023,SIDO,800,805,820,800,820,20
821,26 Apr 2023,UNTR,31075,31200,31500,31200,31400,325
822,26 Apr 2023,UNVR,4090,4090,4100,3960,4100,10
4,27 Apr 2023,ACES,442,444,448,440,446,4
35,27 Apr 2023,AMRT,2910,2900,2900,2810,2840,-70
58,27 Apr 2023,ASII,6700,6675,6725,6625,6700,0
347,27 Apr 2023,HRUM,1540,1540,1545,1510,1510,-30
377,27 Apr 2023,INKP,7925,7925,7950,7775,7900,-25
385,27 Apr 2023,INTP,10450,10350,10650,10350,10500,50
488,27 Apr 2023,MAPI,1410,0,1410,1365,1370,-40
707,27 Apr 2023,SIDO,820,820,820,800,800,-20
821,27 Apr 2023,UNTR,31400,31400,31400,31000,31075,-325
822,27 Apr 2023,UNVR,4100,4150,4470,4150,4400,300
4,28 Apr 2023,ACES,446,446,454,446,450,4
35,28 Apr 2023,AMRT,2840,2850,2900,2820,2900,60
58,28 Apr 2023,ASII,6700,6700,6750,6675,6750,50
347,28 Apr 2023,HRUM,1510,1520,1530,1510,1510,0
377,28 Apr 2023,INKP,7900,7900,7975,7750,7775,-125
385,28 Apr 2023,INTP,10500,10550,10850,10300,10850,350
488,28 Apr 2023,MAPI,1370,0,1385,1350,1370,0
707,28 Apr 2023,SIDO,800,800,800,780,790,-10
821,28 Apr 2023,UNTR,31075,28900,28900,28900,28900,-2175
822,28 Apr 2023,UNVR,4400,4400,4440,4360,4400,0
4,02 Mei 2023,ACES,450,450,452,442,444,-6
35,02 Mei 2023,AMRT,2900,2900,2920,2840,2910,10
58,02 Mei 2023,ASII,6750,6775,6775,6600,6675,-75
347,02 Mei 2023,HRUM,1510,1515,1515,1455,1460,-50
377,02 Mei 2023,INKP,7775,7775,7800,7550,7650,-125
385,02 Mei 2023,INTP,10850,10500,10500,10100,10100,-750
488,02 Mei 2023,MAPI,1370,0,1490,1390,1410,40
707,02 Mei 2023,SIDO,790,785,800,780,795,5
821,02 Mei 2023,UNTR,28900,26900,26900,26900,26900,-2000
822,02 Mei 2023,UNVR,4400,4400,4410,4280,4400,0
4,03 Mei 2023,ACES,444,444,456,444,450,6
35,03 Mei 2023,AMRT,2910,2910,3000,2860,3000,90
58,03 Mei 2023,ASII,6675,6700,6725,6550,6625,-50
347,03 Mei 2023,HRUM,1460,1460,1480,1425,1445,-15
377,03 Mei 2023,INKP,7650,7450,7450,7125,7150,-500
385,03 Mei 2023,INTP,10100,10100,10100,9825,10000,-100
488,03 Mei 2023,MAPI,1410,0,1460,1365,1455,45
707,03 Mei 2023,SIDO,795,795,810,790,805,10
821,03 Mei 2023,UNTR,26900,25025,25025,25025,25025,-1875
822,03 Mei 2023,UNVR,4400,4400,4420,4350,4400,0
4,04 Mei 2023,ACES,450,450,466,448,464,14
35,04 Mei 2023,AMRT,3000,3000,3030,2960,3020,20
58,04 Mei 2023,ASII,6625,6600,6625,6550,6600,-25
347,04 Mei 2023,HRUM,1445,1440,1470,1425,1470,25
377,04 Mei 2023,INKP,7150,7150,7250,7075,7175,25
385,04 Mei 2023,INTP,10000,10000,10075,9925,10000,0
488,04 Mei 2023,MAPI,1455,0,1485,1435,1460,5
707,04 Mei 2023,SIDO,805,805,815,800,810,5
821,04 Mei 2023,UNTR,25025,24900,24975,24500,24500,-525
822,04 Mei 2023,UNVR,4400,4400,4480,4400,4450,50
4,05 Mei 2023,ACES,464,464,478,464,472,8
35,05 Mei 2023,AMRT,3020,3010,3020,2940,2970,-50
58,05 Mei 2023,ASII,6600,6150,6150,6150,6150,-450
347,05 Mei 2023,HRUM,1470,1455,1465,1370,1380,-90
377,05 Mei 2023,INKP,7175,7175,7250,7075,7100,-75
385,05 Mei 2023,INTP,10000,10000,10000,9850,10000,0
488,05 Mei 2023,MAPI,1460,0,1480,1450,1465,5
707,05 Mei 2023,SIDO,810,810,815,795,800,-10
821,05 Mei 2023,UNTR,24500,24400,24400,23975,24150,-350
822,05 Mei 2023,UNVR,4450,4450,4490,4390,4490,40
4,08 Mei 2023,ACES,472,476,525,476,510,38
35,08 Mei 2023,AMRT,2970,2940,2990,2920,2960,-10
58,08 Mei 2023,ASII,6150,6150,6175,6050,6125,-25
348,08 Mei 2023,HRUM,1380,1375,1430,1375,1420,40
378,08 Mei 2023,INKP,7100,7100,7200,7000,7125,25
386,08 Mei 2023,INTP,10000,10025,10250,9950,10175,175
490,08 Mei 2023,MAPI,1465,0,1540,1455,1500,35
710,08 Mei 2023,SIDO,800,800,810,790,805,5
825,08 Mei 2023,UNTR,24150,24175,25200,24100,25000,850
826,08 Mei 2023,UNVR,4490,4480,4490,4430,4470,-20
4,09 Mei 2023,ACES,510,520,560,515,555,45
35,09 Mei 2023,AMRT,2960,2960,2960,2930,2950,-10
58,09 Mei 2023,ASII,6125,6125,6325,6075,6325,200
348,09 Mei 2023,HRUM,1420,1425,1440,1415,1430,10
378,09 Mei 2023,INKP,7125,7150,7325,7150,7250,125
386,09 Mei 2023,INTP,10175,10175,10450,10125,10350,175
490,09 Mei 2023,MAPI,1500,0,1630,1500,1595,95
711,09 Mei 2023,SIDO,805,805,805,795,800,-5
826,09 Mei 2023,UNTR,25000,25025,25400,25025,25275,275
827,09 Mei 2023,UNVR,4470,4470,4470,4360,4390,-80
4,10 Mei 2023,ACES,555,560,560,535,550,-5
35,10 Mei 2023,AMRT,2950,2940,2970,2880,2920,-30
58,10 Mei 2023,ASII,6325,6350,6425,6300,6325,0
348,10 Mei 2023,HRUM,1430,1430,1445,1410,1410,-20
378,10 Mei 2023,INKP,7250,7300,7375,7275,7375,125
386,10 Mei 2023,INTP,10350,10325,10400,10200,10200,-150
490,10 Mei 2023,MAPI,1595,0,1635,1565,1575,-20
711,10 Mei 2023,SIDO,800,800,805,770,775,-25
826,10 Mei 2023,UNTR,25275,25350,25500,25250,25275,0
827,10 Mei 2023,UNVR,4390,4420,4500,4400,4500,110
4,11 Mei 2023,ACES,550,550,550,525,540,-10
35,11 Mei 2023,AMRT,2920,2940,2940,2860,2880,-40
58,11 Mei 2023,ASII,6325,6350,6350,6175,6250,-75
348,11 Mei 2023,HRUM,1410,1410,1415,1375,1375,-35
378,11 Mei 2023,INKP,7375,7375,7375,7175,7200,-175
386,11 Mei 2023,INTP,10200,10200,10300,10075,10225,25
490,11 Mei 2023,MAPI,1575,0,1700,1550,1670,95
711,11 Mei 2023,SIDO,775,775,775,755,775,0
826,11 Mei 2023,UNTR,25275,25175,25175,24675,24825,-450
